,p_analitico 0.010000000000000002 step : 10,p_analitico 0.1000000000000002 step : 100,p_analitico 0.49999999999999983 step : 500,p_analitico 0.9999999999999857 step : 1000,z
0,0.0,0.0,0.0,0.0,0.0
1,0.05637197779701663,0.017838131954813766,0.0058243202919311815,0.0016960297055245755,0.01
2,0.11246291601828493,0.03566733121494449,0.011647202925681655,0.0033916409410885994,0.02
3,0.16799597142736358,0.05347867834068636,0.01746721059911085,0.0050864153399827385,0.03
4,0.2227025892104784,0.07126328036829982,0.023282906722067707,0.006779934741974627,0.04
5,0.2763263901682369,0.08901228396313955,0.029092855772158477,0.008471781296483667,0.05
6,0.32862675945912756,0.10671688847127969,0.03489562365024239,0.010161537565679425,0.060000000000000005
7,0.37938205356231025,0.1243683588363393,0.04068977803556442,0.011848786627478186,0.07
8,0.42839235504666845,0.14195803834866796,0.046473888740434774,0.013533112178412259,0.08
9,0.4754817197869238,0.1594773611946206,0.05224652806436475,0.01521409863634666,0.09
10,0.5204998778130465,0.17691786477432458,0.05800627114756879,0.01689133124301779,0.09999999999999999
11,0.5633233663251088,0.19427120175712434,0.06375169632374257,0.018564396166368836,0.10999999999999999
12,0.6038560908479257,0.21152915184477128,0.06948138547202785,0.02023288060265671,0.11999999999999998
13,0.6420293273556718,0.2286836332134044,0.07519392436807401,0.02189637287830515,0.12999999999999998
14,0.6778011938374182,0.24572671360644288,0.0808879030341075,0.02355446255147906,0.13999999999999999
15,0.7111556336535152,0.26265062105167153,0.08656191608792037,0.025206740513354912,0.15
16,0.7421009647076603,0.2794477541770461,0.09221456309068858,0.026852799089062237,0.16
17,0.7706680576083526,0.296110692101067,0.09784444889353335,0.028492232138271307,0.17
18,0.796908212422832,0.3126322038749675,0.10345018398273598,0.03012463515540221,0.18000000000000002
19,0.8208908072732779,0.3290052574554212,0.10903038482352044,0.03174960536943057,0.19000000000000003
20,0.8427007929497149,0.345223028187998,0.11458367420231577,0.033366741843265255,0.20000000000000004
21,0.8624361060900967,0.3612789067831688,0.12010868156741206,0.03497564557267366,0.21000000000000005
22,0.8802050695740818,0.3771665067682868,0.12560404336792438,0.03657591958473,0.22000000000000006
23,0.896123842936915,0.3928796714006264,0.131068403390979,0.03816716903576248,0.23000000000000007
24,0.9103139782296351,0.40841248002826686,0.136500413097037,0.03974900130877503,0.24000000000000007
25,0.9229001282564581,0.4237592538873166,0.14189873195327135,0.04132102611031978,0.25000000000000006
26,0.9340079449406522,0.43891456132572604,0.1472620277649129,0.04288285556679603,0.26000000000000006
27,0.9437621961227242,0.45387322244567857,0.15258897700448362,0.04443410432015233,0.2700000000000001
28,0.9522851197626492,0.46863031315831505,0.15787826513883296,0.04597438962296777,0.2800000000000001
29,0.9596950256374596,0.4831811686462994,0.16312858695389726,0.04750333143288925,0.2900000000000001
30,0.9661051464753103,0.4975213862314794,0.1683386468771001,0.04902055250640118,0.3000000000000001
31,0.9716227332620127,0.5116468276466307,0.1735071592973132,0.05052567849190474,0.3100000000000001
32,0.976348383344644,0.5255536207119816,0.1786328488822989,0.0520183380220835,0.3200000000000001
33,0.9803755850233602,0.5392381604189002,0.18371445089355543,0.05349816280553274,0.3300000000000001
34,0.9837904585907744,0.5526971094247713,0.1887507114984855,0.05496478771762992,0.34000000000000014
35,0.9866716712191825,0.5659273979647045,0.1937403880798128,0.05641785089062361,0.35000000000000014
36,0.9890905016357309,0.5789262231872704,0.1986822495421692,0.05785699380291902,0.36000000000000015
37,0.9911110300560857,0.5916910479229863,0.20357507661577584,0.05928186136753781,0.37000000000000016
38,0.9927904292352572,0.6042195988957222,0.2084176621571458,0.0606921020197305,0.38000000000000017
39,0.994179333592189,0.6165098643885975,0.21320881144673245,0.062087367803719776,0.3900000000000002
40,0.9953222650189528,0.628560091377281,0.2179473424834505,0.06346731445855341,0.4000000000000002
41,0.9962580960444571,0.640368782144865,0.22263208627599973,0.0648316015030455,0.4100000000000002
42,0.9970205333436672,0.6519346903936821,0.22726188713091736,0.06617989231978501,0.4200000000000002
43,0.9976386070373254,0.6632568168705651,0.23183560293729086,0.0675118542381912,0.4300000000000002
44,0.9981371537020182,0.6743344045230795,0.23635210544806165,0.06882715861659502,0.4400000000000002
45,0.9985372834133187,0.685166933205245,0.2408102805578502,0.07012548092332654,0.45000000000000023
46,0.9988568234026434,0.6957541139521333,0.2452090285772363,0.07140650081678833,0.46000000000000024
47,0.9991107329678677,0.7060958828435439,0.24954726450342865,0.0726699022244948,0.47000000000000025
48,0.9993114861033546,0.7161923944776843,0.2538239182872564,0.0739153734210585,0.48000000000000026
49,0.9994694198877494,0.7260440150764165,0.25803793509642114,0.0751426071051036,0.49000000000000027
50,0.999593047982555,0.7356513152441897,0.26218827557494306,0.07635130047508794,0.5000000000000002
51,0.9996893396573607,0.7450150624032655,0.2662739160987422,0.07754115530401472,0.5100000000000002
52,0.9997639655834707,0.7541362129282156,0.27029384902729087,0.07871187801301553,0.5200000000000002
53,0.9998215122479761,0.7630159040030081,0.2742470829512788,0.07986317974378665,0.5300000000000002
54,0.9998656672600598,0.7716554452242144,0.27813264293623235,0.08099477642986028,0.5400000000000003
55,0.9998993780778803,0.7800563099740307,0.2819495707620276,0.08210638886669389,0.5500000000000003
56,0.9999249868053344,0.7882201265868987,0.28569692515824346,0.08319774278055961,0.5600000000000003
57,0.9999443437200388,0.7961486693334979,0.28937378203529746,0.08426856889621723,0.5700000000000003
58,0.9999589021219005,0.8038438492458463,0.29297923471130916,0.08531860300335378,0.5800000000000003
